Código Dane departamento;Departamento;Código Dane municipio;Municipio;Grupo cultivo;Subgrupo;Cultivo;Desagregación cultivo;Año;Periodo;Área sembrada;Área cosechada;Producción;Rendimiento;Ciclo del cultivo;Estado físico del cultivo;Código del cultivo;Nombre científico del cultivo
15;Boyacá;15401;La Victoria;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;133.47;125.63;123.12;0.98;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15401;La Victoria;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;129.75;121.15;146.96;1.21;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15425;Macanal;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;101;90;117;1.3;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15425;Macanal;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;101;93;112;1.2;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15425;Macanal;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;102.27;98.42;82.67;0.84;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15425;Macanal;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;104.29;101.4;88.13;0.87;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15425;Macanal;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;104.11;98.51;32.89;0.33;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15425;Macanal;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;108.74;99.16;40.5;0.41;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15442;Maripí;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;247;235;278;1.18;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15442;Maripí;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;250;233;256;1.1;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15442;Maripí;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;252.19;229.45;229.45;1;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15442;Maripí;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;262.7;232.61;181.35;0.78;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15442;Maripí;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;250.94;227.85;188.17;0.83;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15442;Maripí;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;240.35;215.25;221.13;1.03;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15455;Miraflores;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;763;715;653.55;0.91;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15455;Miraflores;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2020;2020;748;669;786;1.17;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15455;Miraflores;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2021;2021;726.14;657.31;598.15;0.91;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15455;Miraflores;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2022;2022;713.53;627.64;498.92;0.79;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15455;Miraflores;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2023;2023;686.79;614.07;475.59;0.77;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15455;Miraflores;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2024;2024;660.15;597.08;569.04;0.95;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
15;Boyacá;15464;Mongua;Cultivos tropicales tradicionales;Cultivos tropicales tradicionales;Café;Café;2019;2019;64;54;70.2;1.3;Permanente;Pergamino o seco de trilla;2030300;Coffea arabica
